folder,class_id,label,make,model,body,year_start,year_end,matched
1997_Renault_Espace,27,Renault RENAULT Espace,Renault,RENAULT Espace,van,1985,2024,True
1999_SEAT_Toledo,28,Seat SEAT Toledo,Seat,SEAT Toledo,other,1991,2018,True
2000_BMW_3_Series_Cabriolet,29,BMW BMW 3 Series Cabriolet E46,BMW,BMW 3 Series Cabriolet E46,convertible,1986,2013,True
2000_MercedesBenz_CL_W215,30,Mercedes-Benz MERCEDES BENZ CL C215,Mercedes-Benz,MERCEDES BENZ CL C215,other,1952,2013,True
2000_Opel_Astra_OPC_3doors,31,Opel OPEL Astra OPC,Opel,OPEL Astra OPC,hatchback,2000,2024,True
2000_Skoda_Fabia_Hatchback,32,Skoda SKODA Fabia,Skoda,SKODA Fabia,hatchback,2000,2024,True
2000_Toyota_Corolla_Sedan,33,Toyota TOYOTA Corolla Sedan,Toyota,TOYOTA Corolla Sedan,other,1992,2024,True
2001_Acura_MDX,34,Acura ACURA MDX,Acura,ACURA MDX,suv,2001,2024,True
2001_Nissan_XTrail,35,Nissan NISSAN XTrail T30,Nissan,NISSAN XTrail T30,suv,2001,2024,True
2001_Suzuki_AerioLiana_Hatchback,36,Suzuki SUZUKI Aerio Liana Hatchback,Suzuki,SUZUKI Aerio Liana Hatchback,hatchback,2001,2007,True
2002_Chevrolet_Corvette_C5_Z06,37,Chevrolet CHEVROLET Corvette C5 Z06,Chevrolet,CHEVROLET Corvette C5 Z06,other,1956,2024,True
2002_Chevrolet_TrailBlazer_EXT,38,Chevrolet CHEVROLET TrailBlazer EXT,Chevrolet,CHEVROLET TrailBlazer EXT,suv,2000,2024,True
2002_Peugeot_807,39,Peugeot PEUGEOT 807,Peugeot,PEUGEOT 807,van,2002,2008,True
2002_Renault_Espace,40,Renault RENAULT Espace,Renault,RENAULT Espace,van,1985,2024,True
2002_Renault_Megane_Hatch,41,Renault RENAULT Megane 5 Doors,Renault,RENAULT Megane 5 Doors,hatchback,1996,2024,True
2002_Skoda_Superb,42,Skoda SKODA Superb,Skoda,SKODA Superb,other,2002,2024,True
2003_Alfa_Romeo_166,43,Alfa Romeo ALFA ROMEO 166,Alfa Romeo,ALFA ROMEO 166,other,1996,2007,True
2003_Aston_Martin_DB7_Zagato,44,Aston Martin ASTON MARTIN DB7 Zagato,Aston Martin,ASTON MARTIN DB7 Zagato,other,1993,2004,True
2003_MercedesBenz_CLK_Cabrio,45,Mercedes-Benz MERCEDES BENZ CLK Cabrio A209,Mercedes-Benz,MERCEDES BENZ CLK Cabrio A209,convertible,1992,2024,True
2003_Opel_Signum,46,Opel OPEL Signum,Opel,OPEL Signum,hatchback,2003,2008,True
2003_Renault_Megane_Estate,47,Renault RENAULT Megane Estate,Renault,RENAULT Megane Estate,wagon,1999,2024,True
2003_Saab_93_Convertible,48,Saab SAAB 93 Convertible,Saab,SAAB 93 Convertible,convertible,1998,2012,True
2004_BMW_1_Series_5_doors,49,BMW BMW 1 Series E87,BMW,BMW 1 Series E87,hatchback,2004,2024,True
2004_Mazda_3Axela_Hatchback,50,Mazda MAZDA 3 Axela Hatchback,Mazda,MAZDA 3 Axela Hatchback,hatchback,2004,2024,True
2004_Opel_Astra_Caravan,51,Opel OPEL Astra Caravan,Opel,OPEL Astra Caravan,wagon,1994,2011,True
2005_Bentley_Continental_Flying_Spur,52,Bentley BENTLEY Continental Flying Spur,Bentley,BENTLEY Continental Flying Spur,other,2005,2013,True
2005_Chevrolet_AveoKalos_Sedan,53,Chevrolet CHEVROLET AveoKalos Sedan,Chevrolet,CHEVROLET AveoKalos Sedan,other,2004,2016,True
2005_Chevrolet_MatizSpark,54,Chevrolet CHEVROLET Matiz Spark M200,Chevrolet,CHEVROLET Matiz Spark M200,hatchback,2000,2024,True
2005_Citroen_C6,55,Citroen CITROEN C6,Citroen,CITROEN C6,hatchback,2005,2012,True
2005_Ferrari_FXX,56,Ferrari FERRARI FXX,Ferrari,FERRARI FXX,other,2005,2007,True
2005_Mitsubishi_Grandis,57,Mitsubishi MITSUBISHI Grandis,Mitsubishi,MITSUBISHI Grandis,van,2005,2011,True
2005_Mitsubishi_L200Triton_Double_Cab,58,Mitsubishi MITSUBISHI L 200Triton Double Cab,Mitsubishi,MITSUBISHI L 200Triton Double Cab,truck,1995,2024,True
2005_SAAB_95,59,Saab SAAB 95,Saab,SAAB 95,other,1997,2012,True
2005_Subaru_Impreza_Wagon,60,Subaru SUBARU Impreza Wagon,Subaru,SUBARU Impreza Wagon,other,1993,2024,True
2005_Vauxhall_Monaro_VXR,61,Vauxhall VAUXHALL Monaro VXR,Vauxhall,VAUXHALL Monaro VXR,other,2005,2007,True
2006_Audi_S8,62,Audi AUDI S8,Audi,AUDI S8,other,1996,2024,True
2006_Kia_SedonaCarnival_LWB,63,KIA KIA CarnivalSedona LWB,KIA,KIA CarnivalSedona LWB,van,2002,2024,True
2006_Skoda_Roomster,64,Skoda SKODA Roomster,Skoda,SKODA Roomster,van,2006,2015,True
2006_Toyota_Auris_3_Doors,65,Toyota TOYOTA Auris 3 Doors,Toyota,TOYOTA Auris 3 Doors,hatchback,2006,2010,True
2006_Toyota_Yaris_3_Doors,66,Toyota TOYOTA Yaris 3 Doors,Toyota,TOYOTA Yaris 3 Doors,hatchback,1999,2024,True
2007_BMW_1_Series_3_doors_E81,67,BMW BMW 1 Series 3 doors E81,BMW,BMW 1 Series 3 doors E81,hatchback,2007,2024,True
2007_Ford_CMax,68,Ford FORD CMax,Ford,FORD CMax,van,2003,2019,True
2007_Mazda_CX9,69,Mazda MAZDA CX9,Mazda,MAZDA CX9,suv,2007,2024,True
2007_Opel_Corsa_OPC,70,Opel OPEL Corsa OPC,Opel,OPEL Corsa OPC,hatchback,2007,2024,True
2007_Peugeot_207_SW,71,Peugeot PEUGEOT 207 SW,Peugeot,PEUGEOT 207 SW,wagon,2007,2012,True
2007_Renault_Koleos,72,Renault RENAULT Koleos,Renault,RENAULT Koleos,suv,2007,2024,True
2007_Renault_Laguna,73,Renault RENAULT Laguna,Renault,RENAULT Laguna,hatchback,1994,2016,True
2007_Toyota_Land_Cruiser_200__V8,74,Toyota TOYOTA Land Cruiser 200 V8,Toyota,TOYOTA Land Cruiser 200 V8,suv,1984,2024,True
2008_Audi_A3_Sportback,75,Audi AUDI A3 Sportback,Audi,AUDI A3 Sportback,hatchback,1999,2024,True
2008_Citroen_C4_Coupe,76,Citroen CITROEN C4 Coupe,Citroen,CITROEN C4 Coupe,other,2004,2010,True
2008_Renault_Mégane_Hatch,77,Renault RENAULT Megane 5 Doors,Renault,RENAULT Megane 5 Doors,hatchback,1996,2024,True
2009_Abarth_500_esseesse,78,Fiat FIAT 500 Abarth esseesse,Fiat,FIAT 500 Abarth esseesse,hatchback,2008,2024,True
2009_Aston_Martin_DBS_Volante,79,Aston Martin ASTON MARTIN DBS Volante,Aston Martin,ASTON MARTIN DBS Volante,convertible,2009,2012,True
2009_Bentley_Flying_Spur_Speed,80,Bentley BENTLEY Continental Flying Spur Speed,Bentley,BENTLEY Continental Flying Spur Speed,other,2005,2013,True
2009_Kia_Sorento,81,KIA KIA Sorento,KIA,KIA Sorento,suv,2002,2024,True
2009_Lamborghini_Murcielago_LP_6704_SV,82,Lamborghini LAMBORGHINI Murcielago LP 6704 SuperVeloce,Lamborghini,LAMBORGHINI Murcielago LP 6704 SuperVeloce,other,2001,2010,True
2009_Mazda_Tribute_Hybrid,83,Mazda MAZDA Tribute,Mazda,MAZDA Tribute,suv,2001,2011,True
2009_Opel_Insignia_Sports_Tourer_OPC,84,Opel OPEL Insignia Sports Tourer OPC,Opel,OPEL Insignia Sports Tourer OPC,wagon,2009,2017,True
2009_SEAT_Exeo_ST,85,Seat SEAT Exeo ST,Seat,SEAT Exeo ST,wagon,2009,2013,True
2009_Seat_Ibiza_FR_5doors,86,Seat SEAT Ibiza FR 5 Doors,Seat,SEAT Ibiza FR 5 Doors,hatchback,2009,2017,True
2009_Toyota_iQ,87,Toyota TOYOTA iQ,Toyota,TOYOTA iQ,hatchback,2008,2015,True
2010Ford_Taurus,88,Ford FORD Taurus,Ford,FORD Taurus,other,1995,2019,True
2010_BMW_X1,89,BMW BMW X1 E84,BMW,BMW X1 E84,suv,2009,2024,True
2010_Lancer_Sportback_Ralliart,90,Mitsubishi MITSUBISHI Lancer Sportback Ralliart,Mitsubishi,MITSUBISHI Lancer Sportback Ralliart,hatchback,1988,2024,True
2010_Land_Rover_LR4,91,Land Rover LAND ROVER Discovery LR4,Land Rover,LAND ROVER Discovery LR4,suv,1990,2024,True
2010_Lexus_LFA,92,Lexus LEXUS LFA,Lexus,LEXUS LFA,other,2010,2013,True
2010_MercedesBenz_CLClass,93,Mercedes-Benz MERCEDES BENZ CL C216,Mercedes-Benz,MERCEDES BENZ CL C216,other,1952,2013,True
2010_MercedesBenz_E63_AMG,94,Mercedes-Benz MERCEDES BENZ E 63 AMG W212,Mercedes-Benz,MERCEDES BENZ E 63 AMG W212,other,1996,2016,True
2010_MeredesBenz_SLS_AMG_Coupe,95,Mercedes-Benz MERCEDES BENZ SLS AMG C197,Mercedes-Benz,MERCEDES BENZ SLS AMG C197,other,2010,2015,True
2010_Skoda_Fabia_RS_hatchback,96,Skoda SKODA Fabia RS,Skoda,SKODA Fabia RS,hatchback,2003,2014,True
2010_Skoda_Roomster,97,Skoda SKODA Roomster,Skoda,SKODA Roomster,van,2006,2015,True
2010_Subaru_Outback,98,Subaru SUBARU Outback,Subaru,SUBARU Outback,wagon,1998,2024,True
2010_Toyota_Auris_5_Doors,99,Toyota TOYOTA Auris 5 Doors,Toyota,TOYOTA Auris 5 Doors,hatchback,2006,2024,True
2010_Toyota_Etios,100,Toyota TOYOTA Etios,Toyota,TOYOTA Etios,other,2010,2024,True
2010_Wiesmann_MF4,101,Wiesmann WIESMANN MF4,Wiesmann,WIESMANN MF4,other,2003,2024,True
2010_Wiesmann_MF4S_Roadster,102,Wiesmann WIESMANN MF4S Roadster,Wiesmann,WIESMANN MF4S Roadster,convertible,2010,2024,True
2011Toyota_Innova,103,Toyota TOYOTA Innova,Toyota,TOYOTA Innova,wagon,2011,2013,True
2011_Audi_R8_Spyder_42_FSI_Quattro,104,Audi AUDI R8 V8 Spyder,Audi,AUDI R8 V8 Spyder,convertible,2010,2024,True
2011_Chevrolet_Cobalt,105,Chevrolet CHEVROLET Cobalt,Chevrolet,CHEVROLET Cobalt,other,2004,2024,True
2011_Dodge_Avenger,106,Dodge DODGE Avenger,Dodge,DODGE Avenger,other,2007,2014,True
2011_Dodge_Challenger,107,Dodge DODGE Challenger,Dodge,DODGE Challenger,other,1969,2024,True
2011_Hyundai_Sonata_Hybrid,108,Hyundai HYUNDAI Sonata Hybrid,Hyundai,HYUNDAI Sonata Hybrid,other,2010,2024,True
2011_Kia_Picanto_5_doors,109,KIA KIA Picanto 5 doors,KIA,KIA Picanto 5 doors,hatchback,2004,2024,True
2011_Toyota_HiLux_Double_Cab,110,Toyota TOYOTA Hilux Double Cab,Toyota,TOYOTA Hilux Double Cab,truck,2011,2024,True
2012_BMW_6_Series_Convertible,111,BMW BMW 6 Series Convertible F12,BMW,BMW 6 Series Convertible F12,convertible,2004,2018,True
2012_Cadillac_ATS,112,Cadillac CADILLAC ATS,Cadillac,CADILLAC ATS,other,2012,2019,True
2012_Chevrolet_Trailblazer,113,Chevrolet CHEVROLET TrailBlazer,Chevrolet,CHEVROLET TrailBlazer,suv,2000,2024,True
2012_Kia_Rio_3_Doors,114,KIA KIA Rio 3 doors,KIA,KIA Rio 3 doors,hatchback,2005,2024,True
2012_Mazda_6Atenza_Sedan,115,Mazda MAZDA 6Atenza Sedan,Mazda,MAZDA 6Atenza Sedan,other,2002,2024,True
2012_Suzuki_Ertiga,116,Suzuki SUZUKI Ertiga,Suzuki,SUZUKI Ertiga,van,2012,2015,True
2012_Suzuki_Jimny_hardtop,117,Suzuki SUZUKI Jimny,Suzuki,SUZUKI Jimny,suv,2005,2024,True
2012_Volkswagen_up_5_doors,118,Volkswagen VOLKSWAGEN up 5 doors,Volkswagen,VOLKSWAGEN up 5 doors,hatchback,2012,2024,True
2012_smart_fortwo_Brabus_cabrio,119,Smart SMART fortwo Cabrio Brabus,Smart,SMART fortwo Cabrio Brabus,convertible,2003,2014,True
2013_BMW_X1,120,BMW BMW X1 E84,BMW,BMW X1 E84,suv,2009,2024,True
2013_Citroen_C3_Picasso,121,Citroen CITROEN C3 Picasso,Citroen,CITROEN C3 Picasso,hatchback,2008,2017,True
2013_Hyundai_Grand_i10,122,Hyundai HYUNDAI Grand i10,Hyundai,HYUNDAI Grand i10,hatchback,2008,2024,True
2013_Jeep_Grand_Cherokee_SRT8,123,Jeep JEEP Grand Cherokee SRT8,Jeep,JEEP Grand Cherokee SRT8,suv,1992,2024,True
2013_MercedesAMG_S_63,124,Mercedes-Benz MERCEDES BENZ S 63 AMG W222,Mercedes-Benz,MERCEDES BENZ S 63 AMG W222,other,1999,2017,True
2013_MercedesBenz_G63_AMG_6x6,125,Mercedes-Benz MERCEDES BENZ GClass AMG 6x6 W463,Mercedes-Benz,MERCEDES BENZ GClass AMG 6x6 W463,suv,1999,2018,True
2013_Nissan_Note,126,Nissan NISSAN Note,Nissan,NISSAN Note,van,2005,2024,True
2013_Range_Rover_Hybrid,127,Land Rover LAND ROVER Range Rover Hybrid,Land Rover,LAND ROVER Range Rover Hybrid,suv,2013,2024,True
2013_Renault_Grand_Scenic,128,Renault RENAULT Grand Scenic,Renault,RENAULT Grand Scenic,van,2003,2024,True
2013_VW_eUP,129,Volkswagen VOLKSWAGEN eUP,Volkswagen,VOLKSWAGEN eUP,hatchback,2013,2024,True
2013_Volkswagen_Golf_VII_R__5_Doors,130,Volkswagen VOLKSWAGEN Golf VII R 5 Doors,Volkswagen,VOLKSWAGEN Golf VII R 5 Doors,hatchback,2002,2024,True
2013_Volvo_V60_Polestar,131,Volvo VOLVO V60 Polestar,Volvo,VOLVO V60 Polestar,wagon,2013,2024,True
2014_Acura_RLX,132,Acura ACURA RLX,Acura,ACURA RLX,other,2013,2024,True
2014_BMW_4_Series_Convertible_F33,133,BMW BMW 4 Series Cabrio F33,BMW,BMW 4 Series Cabrio F33,convertible,2014,2024,True
2014_Focus_ST_5_Doors,134,Ford FORD Focus ST 5 Doors,Ford,FORD Focus ST 5 Doors,hatchback,2012,2024,True
2014_Hyundai_i10,135,Hyundai HYUNDAI i10,Hyundai,HYUNDAI i10,hatchback,2008,2024,True
2014_Jaguar_FType_Coupe,136,Jaguar JAGUAR FType Coupe,Jaguar,JAGUAR FType Coupe,other,2014,2024,True
2014_Lexus_IS,137,Lexus LEXUS IS,Lexus,LEXUS IS,other,1998,2024,True
2014_MercedesBenz_CClass_W205,138,Mercedes-Benz MERCEDES BENZ CClass W205,Mercedes-Benz,MERCEDES BENZ CClass W205,other,1982,2024,True
2014_Peugeot_308_SW,139,Peugeot PEUGEOT 308 SW,Peugeot,PEUGEOT 308 SW,wagon,2008,2024,True
2014_Porsche_918_Spyder,140,Porsche PORSCHE 918 Spyder,Porsche,PORSCHE 918 Spyder,other,2013,2015,True
2014_Toyota_Corolla,141,Toyota TOYOTA Corolla,Toyota,TOYOTA Corolla,hatchback,2007,2024,True
2014_Toyota_Corolla_US,142,Toyota TOYOTA Corolla US,Toyota,TOYOTA Corolla US,other,2013,2024,True
2014_Volvo_S60_Polestar,143,Volvo VOLVO S60 Polestar,Volvo,VOLVO S60 Polestar,other,2014,2024,True
2015_Honda_CRV,144,Honda HONDA CRV,Honda,HONDA CRV,suv,1996,2024,True
2015_Lexus_GS_F,145,Lexus LEXUS GS F,Lexus,LEXUS GS F,other,2015,2024,True
2015_MercedesBenz_CLA_Shooting_Brake,146,Mercedes-Benz MERCEDES BENZ CLA Shooting Brake X117,Mercedes-Benz,MERCEDES BENZ CLA Shooting Brake X117,wagon,2015,2024,True
2015_MercedesBenz_C_450_AMG_4Matic_TModell_S205,147,Mercedes-Benz MERCEDES BENZ C 450 AMG TModell S205,Mercedes-Benz,MERCEDES BENZ C 450 AMG TModell S205,wagon,1996,2024,True
2015_Mitsubishi_Mirage_G4Attrage,148,Mitsubishi MITSUBISHI Mirage G4,Mitsubishi,MITSUBISHI Mirage G4,other,2013,2024,True
2015_Range_Rover_Sport_SVR,149,Land Rover LAND ROVER Range Rover Sport SVR,Land Rover,LAND ROVER Range Rover Sport SVR,suv,2015,2024,True
2015_Renault_Megane_GT_5_Doors,150,Renault RENAULT Megane GT 5 Doors,Renault,RENAULT Megane GT 5 Doors,hatchback,1996,2024,True
2015_Seat_Leon_ST_Cupra,151,Seat SEAT Leon ST Cupra,Seat,SEAT Leon ST Cupra,wagon,2015,2024,True
2015_Toyota_Auris_5_Doors,152,Toyota TOYOTA Auris 5 Doors,Toyota,TOYOTA Auris 5 Doors,hatchback,2006,2024,True
2015_Toyota_HiLux_Double_Cab,153,Toyota TOYOTA Hilux Double Cab,Toyota,TOYOTA Hilux Double Cab,truck,2011,2024,True
2015_Volkswagen_Golf_VII_R_Variant,154,Volkswagen VOLKSWAGEN Golf VII R Variant,Volkswagen,VOLKSWAGEN Golf VII R Variant,wagon,2015,2024,True
2015_Volkswagen_Multivan_T6,155,Volkswagen VOLKSWAGEN Multivan T6,Volkswagen,VOLKSWAGEN Multivan T6,van,2003,2024,True
2016_AMG_GT_R_C190,156,Mercedesamg MercedesAMG GT R C190,Mercedesamg,MercedesAMG GT R C190,other,2015,2024,True
2016_DS_3_Cabrio,157,Dsautomobiles DS AUTOMOBILES DS 3 Cabrio,Dsautomobiles,DS AUTOMOBILES DS 3 Cabrio,other,2013,2018,True
2016_Honda_Civic_Sedan,158,Honda HONDA Civic Sedan,Honda,HONDA Civic Sedan,other,1987,2024,True
2016_Hyundai_Elantra,159,Hyundai HYUNDAI Elantra,Hyundai,HYUNDAI Elantra,other,2000,2024,True
2016_MercedesAMG_GLC43_Coupe,160,Mercedesamg MercedesAMG GLC 43 Coupe C253,Mercedesamg,MercedesAMG GLC 43 Coupe C253,other,2016,2024,True
2016_MercedesAMG_S_63_Cabriolet,161,Mercedesamg MercedesAMG S 63 Cabriolet A217,Mercedesamg,MercedesAMG S 63 Cabriolet A217,convertible,2016,2024,True
2016_Peugeot_2008,162,Peugeot PEUGEOT 2008,Peugeot,PEUGEOT 2008,suv,2013,2024,True
2016_SMART_fortwo_Electric_Drive,163,Smart SMART fortwo Electric Drive,Smart,SMART fortwo Electric Drive,hatchback,2012,2024,True
2016_SsangYong_Tivoli_XLV,164,Ssangyong SSANGYONG Tivoli XLV,Ssangyong,SSANGYONG Tivoli XLV,suv,2016,2024,True
2016_Tesla_Model_X,165,Tesla TESLA Model X,Tesla,TESLA Model X,suv,2015,2024,True
2017_Abarth_124_Spider,166,Fiat FIAT 124 Abarth Spider,Fiat,FIAT 124 Abarth Spider,convertible,1966,2024,True
2017_BMW_5_Series_Touring,167,BMW BMW 5 Series Touring G31,BMW,BMW 5 Series Touring G31,wagon,1992,2024,True
2017_Chevrolet_Cruze_Hatchback,168,Chevrolet CHEVROLET Cruze Hatchback,Chevrolet,CHEVROLET Cruze Hatchback,hatchback,2011,2024,True
2017_Dacia_Duster,169,Dacia DACIA Duster,Dacia,DACIA Duster,suv,2010,2024,True
2017_Honda_Civic_TypeR,170,Honda HONDA Civic TypeR,Honda,HONDA Civic TypeR,hatchback,2001,2024,True
2017_Jaguar_FType_SVR_Coupe,171,Jaguar JAGUAR FType SVR Coupe,Jaguar,JAGUAR FType SVR Coupe,other,2016,2024,True
2017_Lexus_LS,172,Lexus LEXUS LS,Lexus,LEXUS LS,other,1990,2024,True
2017_Lincoln_MKZ,173,Lincoln LINCOLN MKZ,Lincoln,LINCOLN MKZ,other,2006,2024,True
2017_MercedesAMG_CLA_45_Coupe,174,Mercedesamg MercedesAMG CLA 45 Coupe C117,Mercedesamg,MercedesAMG CLA 45 Coupe C117,other,2016,2024,True
2017_MercedesAMG_GLS_63,175,Mercedesamg MercedesAMG GLS 63 X166,Mercedesamg,MercedesAMG GLS 63 X166,other,2016,2024,True
2017_MercedesAMG_S_63_L,176,Mercedesamg MercedesAMG S 63 Long V222,Mercedesamg,MercedesAMG S 63 Long V222,other,2017,2024,True
2017_Nissan_GTR,177,Nissan NISSAN GTR,Nissan,NISSAN GTR,other,1969,2024,True
2017_Opel_Insignia_Grand_Sport,178,Opel OPEL Insignia Grand Sport,Opel,OPEL Insignia Grand Sport,other,2008,2024,True
2017_Skoda_Octavia_Combi_4x4,179,Skoda SKODA Octavia Combi 4x4,Skoda,SKODA Octavia Combi 4x4,other,2009,2024,True
2017_Subaru_Impreza,180,Subaru SUBARU Impreza 4 doors,Subaru,SUBARU Impreza 4 doors,other,1993,2024,True
2017_Volkswagen_Tiguan_Allspace,181,Volkswagen VOLKSWAGEN Tiguan Allspace,Volkswagen,VOLKSWAGEN Tiguan Allspace,suv,2017,2024,True
2018_Citroen_C5_Aircross,182,Citroen CITROEN C5 Aircross,Citroen,CITROEN C5 Aircross,suv,2018,2024,True
2018_Dodge_Challenger_SRT_Demon,183,Dodge DODGE Challenger SRT Demon,Dodge,DODGE Challenger SRT Demon,other,2008,2024,True
2018_Ford_Mustang_Convertible,184,Ford FORD Mustang Convertible,Ford,FORD Mustang Convertible,convertible,1964,2024,True
2018_Land_Rover_Range_Rover_Velar,185,Land Rover LAND ROVER Range Rover Velar,Land Rover,LAND ROVER Range Rover Velar,suv,2017,2024,True
2018_Maserati_GranTurismo,186,Maserati MASERATI GranTurismo,Maserati,MASERATI GranTurismo,other,2007,2024,True
2018_MercedesAMG_GT_4Door_coupe_63_4Matic,187,Mercedesamg MercedesAMG GT 63 4MATIC X290,Mercedesamg,MercedesAMG GT 63 4MATIC X290,other,2018,2024,True
2018_Peugeot_SW,188,Peugeot PEUGEOT 508 SW,Peugeot,PEUGEOT 508 SW,wagon,2010,2024,True
2018_Subaru_Crosstrek,189,Subaru SUBARU Crosstrek,Subaru,SUBARU Crosstrek,suv,2015,2024,True
2018_Suzuki_Jimny,190,Suzuki SUZUKI Jimny,Suzuki,SUZUKI Jimny,suv,2005,2024,True
2019_BMW_X5,191,BMW BMW X5 G05,BMW,BMW X5 G05,suv,2000,2024,True
2019_Cadillac_XT4,192,Cadillac CADILLAC XT4,Cadillac,CADILLAC XT4,suv,2018,2024,True
2019_Hyundai_Santa_Fe,193,Hyundai HYUNDAI Santa Fe,Hyundai,HYUNDAI Santa Fe,suv,2000,2024,True
2019_Hyundai_i10,194,Hyundai HYUNDAI i10,Hyundai,HYUNDAI i10,hatchback,2008,2024,True
2019_Kia_Seltos,195,KIA KIA Seltos,KIA,KIA Seltos,suv,2019,2024,True
2019_MercedesAMG_CLA_35_4MATIC_Shooting_Brake,196,Mercedesamg MercedesAMG CLA 35 4MATIC Shooting Brake,Mercedesamg,MercedesAMG CLA 35 4MATIC Shooting Brake,other,2015,2024,True
2019_MercedesAMG_CLA_35_Coupe,197,Mercedesamg MercedesAMG CLA 35 Coupe,Mercedesamg,MercedesAMG CLA 35 Coupe,other,2016,2024,True
2019_MercedesAMG_CLA_45_4MATIC_Shooting_Brake,198,Mercedesamg MercedesAMG CLA 45 4MATIC Shooting Brake,Mercedesamg,MercedesAMG CLA 45 4MATIC Shooting Brake,other,2015,2024,True
2019_MercedesAMG_CLA_45_Coupe,199,Mercedesamg MercedesAMG CLA 45 Coupe C117,Mercedesamg,MercedesAMG CLA 45 Coupe C117,other,2016,2024,True
2019_MercedesBenz_CLA_Coupe,200,Mercedes-Benz MERCEDES BENZ CLA Coupe C118,Mercedes-Benz,MERCEDES BENZ CLA Coupe C118,other,2013,2024,True
2019_MercedesBenz_CLA_Shooting_Brake,201,Mercedes-Benz MERCEDES BENZ CLA Shooting Brake X117,Mercedes-Benz,MERCEDES BENZ CLA Shooting Brake X117,wagon,2015,2024,True
2019_Nissan_Murano,202,Nissan NISSAN Murano,Nissan,NISSAN Murano,suv,2003,2024,True
2019_Peugeot_508,203,Peugeot PEUGEOT 508,Peugeot,PEUGEOT 508,other,2010,2024,True
